timebase,lv_dab.i_out,lv_dab.i_in,lv_dab.v_out,mv_dab.v_out,mv_dab.i_in
0.01952,0,18.5833,26.7571,245.004,103.751
0.01956,0,18.7625,27.1548,245.004,103.806
0.0196,0,18.9644,27.422,245.004,103.86
0.01964,0,19.1749,27.6394,245.005,103.915
0.01968,0,19.3638,27.905,245.006,103.969
0.01972,0,19.5268,28.212,245.007,104.022
0.01976,0,19.6832,28.3441,245.008,104.074
0.0198,0,19.825,28.5973,245.011,104.127
0.01984,0,19.9606,28.9371,245.014,104.18
0.01988,0,20.1137,29.2117,245.019,104.233
0.01992,0,20.2831,29.4559,245.025,104.285
0.01996,0,20.4501,29.9246,245.031,104.336
0.02,0,20.6331,29.9746,245.038,104.387
0.02004,0,20.7863,30.3202,245.044,104.436
0.02008,0,20.9187,30.4793,245.051,104.485
0.02012,0,21.0319,30.619,245.058,104.534
0.02016,0,21.1256,30.7286,245.067,104.582
0.0202,0,21.2004,31.0064,245.077,104.63
0.02024,0,21.286,31.1844,245.088,104.676
0.02028,0,21.3867,31.5219,245.101,104.722
0.02032,0,21.5116,31.4847,245.115,104.767
0.02036,0,21.6072,31.7392,245.129,104.81
0.0204,0,21.6774,31.7813,245.144,104.853
0.02044,0,21.7216,32.0662,245.16,104.894
0.02048,0,21.777,32.383,245.177,104.934
0.02052,0,21.8718,32.185,245.195,104.972
0.02056,0,21.9325,32.5344,245.215,105.009
0.0206,0,21.9779,32.6319,245.234,105.045
0.02064,0,22.0175,32.8357,245.254,105.08
0.02068,0,22.0655,33.0275,245.276,105.114
0.02072,0,22.1243,33.1345,245.298,105.145
0.02076,0,22.1764,33.3218,245.321,105.175
0.0208,0,22.2188,33.2518,245.344,105.203
0.02084,0,22.2234,33.3591,245.367,105.23
0.02088,0,22.2043,33.2987,245.39,105.254
0.02092,0,22.1654,33.4085,245.415,105.278
0.02096,0,22.1329,33.5186,245.441,105.299
0.021,0,22.1231,33.4289,245.468,105.319
0.02104,0,22.1055,33.3071,245.497,105.337
0.02108,0,22.0501,33.4837,245.525,105.354
0.02112,0,21.994,33.3289,245.554,105.368
0.02116,0,21.9318,33.1396,245.584,105.379
0.0212,0,21.8432,33.224,245.615,105.389
0.02124,0,21.7582,33.0093,245.647,105.397
0.02128,0,21.6667,33.1949,245.68,105.403
0.02132,0,21.6027,33.0773,245.713,105.406
0.02136,0,21.5486,32.7981,245.748,105.407
0.0214,0,21.4553,33.0229,245.782,105.406
0.02144,0,21.3671,32.9482,245.815,105.403
0.02148,0,21.294,33.0201,245.849,105.397
0.02152,0,21.2404,32.6828,245.883,105.39
0.02156,0,21.15,32.6714,245.916,105.379
0.0216,0,21.0298,32.5807,245.948,105.367
0.02164,0,20.9039,32.559,245.981,105.353
0.02168,0,20.7968,32.3813,246.013,105.336
0.02172,0,20.694,32.3998,246.046,105.317
